,tmdb_id,title,views,evaluation,evaluation_tmdb,release_date,genre_ids,overview,diff,Director_0,Director_1,Director_2,Director_3,Adventure,Fantasy,Animation,Drama,Horror,Action,Comedy,History,Western,Thriller,Crime,Documentary,Science Fiction,Mystery,Music,Romance,Family,War,TV Movie,primary genre,keywords
0,157336,Interstellar,10,9.92,8.452,2014-11-05,"[12, 18, 878]",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,1.468,Christopher Nolan,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Adventure,rescue future spacecraft race against time artificial intelligence (a.i.) nasa time warp dystopia expedition space travel wormhole famine hibernation black hole quantum mechanics family relationships space robot astronaut scientist single father farmer space station space adventure time paradox cryonics father daughter relationship 2060s cornfield time manipulation amused 
1,5825,National Lampoon's Christmas Vacation,8,8.1,7.233,1989-11-30,[35],"It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon.",0.867,Jeremiah S. Chechik,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,squirrel holiday boss rottweiler christmas tree family dinner neighbor domestic life fantasy sequence lights christmas christmas bonus jello xmas eve 
2,515001,Jojo Rabbit,7,8.959999999999999,8.012,2019-10-18,"[35, 10752, 18]","A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.",0.9479999999999986,Taika Waititi,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Comedy,based on novel or book world war ii jew persecution affectation satire imaginary friend hitler youth single mother nazism 1940s satirical child protagonist adolf hitler children in wartime lighthearted 
3,38602,Little Lord Fauntleroy,6,7.7700000000000005,7.372,1980-12-01,"[10770, 10751, 18]","Young Cedric Errol and his widowed mother live in genteel poverty in 1880s Brooklyn after the death of his father. Cedric's grandfather, the Earl of Dorincourt, has long ago disowned his son for marrying an American. But after the death of the Earl's remaining son, he decides to accept Cedric as his heir.",0.3980000000000006,Jack Gold,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TV Movie,remake lord 
4,318846,The Big Short,6,9.52,7.356,2015-12-11,"[35, 18]",The men who made millions from a global economic meltdown.,2.1639999999999997,Adam McKay,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,based on novel or book bank fraud wall street biography based on true story finances animated scene historical fiction loan cynical financial crisis real estate mortgage factual complicated 
5,334,Magnolia,6,9.98,7.7,1999-12-17,[18],"On one random day in the San Fernando Valley, a dying father, a young wife, a male caretaker, a famous lost son, a police officer in love, a boy genius, an ex-boy genius, a game show host and an estranged daughter will each become part of a dazzling multiplicity of plots, but one story.",2.2800000000000002,Paul Thomas Anderson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drama,dying and death daughter farewell regret unsociability chance becoming an adult parent child relationship suicide attempt loss of loved one child prodigy reconciliation san fernando valley multiple storylines candid philosophical frog grand sentimental audacious bold earnest empathetic 
6,120,The Lord of the Rings: The Fellowship of the Ring,5,9.4,8.418,2001-12-18,"[12, 14, 28]","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",0.9820000000000011,Peter Jackson,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Adventure,based on novel or book orcs elves dwarf magic obsession bravery fireworks mine maze mountain castle birthday party battle demon blizzard uncle nephew relationship fantasy world journey ring invisibility live action and animation hero's journey wraith sword and sorcery trekking good versus evil creatures epic quest hobbits trolls 
7,19995,Avatar,5,8.959999999999999,7.587,2009-12-15,"[28, 12, 14, 878]","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",1.3729999999999993,James Cameron,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Action,paraplegic attachment to nature culture clash indigenous space travel space colony tribe alien planet distant future marine battle love affair scientist nature native peoples power relations curious tribal customs shocking tribal people tribal chief deity cryonics spiritual community 22nd century save the planet racial discrimination soldiers loving admiring compassionate 
8,76341,Mad Max: Fury Road,5,9.379999999999999,7.62,2015-05-13,"[28, 12, 878]","An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",1.759999999999999,George Miller,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Action,rescue future australia chase dystopia post-apocalyptic future survival on the run on the road desert convoy peak oil dark future post-apocalyptic car suspenseful intense awestruck commanding hopeful 
9,62,2001: A Space Odyssey,5,9.4,8.065,1968-04-02,"[878, 9648, 12]","Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",1.3350000000000009,Stanley Kubrick,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Science Fiction,man vs machine moon jupiter artificial intelligence (a.i.) based on novel or book technology super computer space travel space mission moon base astronaut evolution monolith space station space opera philosophical complex 2000s dreary grand ai rebellion tense audacious baffled excited 
